languages,counts
nan,1878
English,235
Macao creole,179
Cochin creole,66
Capeverdean creole,65
Dutch,45
Mangalor dialect,38
Diu creole,29
Konkani,24
Sinhala,20
Marathi,19
Singapore creole,17
Italian,9
Persian,9
Tamil,7
Guinea-Bissau kryol,6
Malay,5
de Malaca,3
Goa creole,3
Spanish,3
Santome,3
Kannada,2
malayalam,2
Malai,2
Bengali,1
Papiamentu,1
prákrito,1
Hindi,1
hindu,1
