"Related_languages","pt_related annotations"
,
"English",
"Macao creole","Old Portuguese"
"Macao creole","Old Portuguese"
,
,
,
,
,
,
,
,
"English",
,
,
"English",
,
,
,
,
,
"English",
"Marathi",
,
,
,
,
,"Portuguese-based creoles of Indian mainland"
,"Portuguese-based creoles of Indian mainland"
,
"English",
,
,
,
"English",
"English",
,
,
"English",
,
,
,
,
,
,
,
,
,
"English",
"English",
,
,
"English",
,
,
"English",
,
,
"English",
"English",
,
,
,
,"Old Portuguese"
,
,
,
,
,
,
,
,
,
"English",
,
"English",
,
,
,
,
"Macao creole",
"Macao creole",
,
,
,
,
,
"English",
"English",
,"Old Portuguese"
,
,
,
,
,
,
,
,
,
"English","All Portuguese-based creoles of India"
"Macao creole",
"Macao creole",
"English",
,"Dialectal Portuguese"
,"Dialectal Portuguese"
"English",
,
"Macao creole",
"Macao creole",
,"Dialectal Portuguese"
,"Dialectal Portuguese"
"English",
,
,
,
,
,
,
"Sinhala, Tamil",
,"Old Portuguese"
,"Old Portuguese"
,"Old Portuguese"
,"Old Portuguese"
,
,
,
"Konkani, Macao creole, Sinhala, Tamil","All Portuguese-based creoles of India"
"Konkani, Macao creole, Sinhala, Tamil","All Portuguese-based creoles of India"
,
,
,
"Capeverdean creole",
,
,
,
,
,
,
,
"Macao creole",
"Macao creole",
"Macao creole",
"Marathi",
"Marathi",
,
"Dutch",
"Cochin creole",
"Cochin creole",
"Cochin creole",
"Cochin creole",
,
,
,
,
,
"English",
,
,
"English",
"English",
,
,
,
"English",
,
,
,
,
"Macao creole",
"Macao creole",
,
,
,
,
,
"Dutch",
"Marathi",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"Marathi",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,"Dialectal Portuguese"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"Capeverdean creole","Dialetal Portuguese Alentejo"
,
,
,
,
,
"English",
"English",
"Marathi","Old Portuguese"
,
,
,
,
,
,
"English",
,
,
,
,
"English",
,
,
,
,"Old Portuguese"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"English",
,
,
,
,
"English",
,
,
,
,
,
"Capeverdean creole",
,
,
,
,
,
,
,
,
,
,
"English",
,
,
,
,
"English",
,
,
,
"English",
,
,
,
,
,
,
,"Old Portuguese"
,
,
"Capeverdean creole, Cochin creole, Macao creole",
"Capeverdean creole, Cochin creole, Macao creole",
,
,
,
,
,
,
,
,
"Dutch",
"Dutch",
"Macao creole",
"Macao creole",
"Macao creole","Dialectal Portuguese"
"Macao creole","Dialectal Portuguese"
"Macao creole","Dialectal Portuguese"
,
,
"English",
"English",
,
,
,
,
,
,
"English",
,
,
,
,
,
,
,
,"Old Portuguese"
,"Old Portuguese"
,
,
"English",
,
,
,
,"Old Portuguese"
,
,
"English",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,"Old Portuguese"
,
,
,
,
"Cochin creole","Old Portuguese"
,
,
,
,
,
,
,
,
,
,
"Italian",
"Italian","Dialetal Portuguese Alentejo"
,
,
"Dutch",
,
,
,
,
"Capeverdean creole","Old Portuguese, All Portuguese-based creoles of India"
,
,
,
,
,
,
"Cochin creole, Macao creole","Dialetal Portuguese Alentejo"
"Cochin creole, Macao creole",
,
,
,
"English",
,
,
,
,
"English",
,
,
,
,
"English",
,"Old Portuguese"
,
,
,
,"Dialetal Portuguese Alentejo, Algarve"
,
,
,
,
,
"Macao creole",
,
,
,
,
,
,
"Capeverdean creole, Macao creole, Mangalor dialect",
,
,
,
,
"Capeverdean creole","Portuguese-based creoles of Indian mainland"
"English",
,"Old Portuguese"
"Diu creole","Diu creole, Daman creole"
"Diu creole","Diu creole, Daman creole"
"Diu creole","Diu creole, Daman creole"
"Diu creole","Diu creole, Daman creole"
,
"Macao creole","All Portuguese-based creoles of India"
,
,
,
,
,
,
,
"Cochin creole",
,
"Dutch",
,
,
,
,
,
,
"Dutch",
,
,
"English",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"Macao creole","Old Portuguese"
,
,
,
,
,
,
,
,
,
,
,
,
,
,"Old Portuguese"
,
,
,
"Macao creole",
,
,"All Portuguese-based creoles of India"
,"All Portuguese-based creoles of India"
,
,
,
,
,
,
,
"Macao creole",
"Macao creole",
,
,
,
,
,
,
,
,
,
,
"Capeverdean creole, Singapore creole","Old Portuguese"
,
"Macao creole","Old Portuguese"
"Macao creole","Old Portuguese"
"Macao creole","Old Portuguese"
,
,
,
,
,
,
,
,
,
,
,
,
"Italian",
"English",
,
,
"English",
,
,
,
,
,
,
,
"Cochin creole, Macao creole",
"English",
,
,
"English",
"English",
,
,"All Portuguese-based creoles of India"
,
,
,
,"Old Portuguese"
,"Old Portuguese"
,"Old Portuguese"
"Bengali, Capeverdean creole, Macao creole",
,
"English",
"English","All Portuguese-based creoles of India"
,
"English, Malay","All Portuguese-based creoles of India"
,
,
,
,
"Dutch",
,
"English",
"Capeverdean creole","Old Portuguese"
,
,
"English",
"English",
,
,
,
,
,
"Macao creole","Dialectal Portuguese"
"Macao creole","Dialectal Portuguese"
,
,
,
"English",
"English",
"English",
,
,
,
,"Old Portuguese"
,
,
,
,
,
"English",
,
,
,
,
,
,
,
,
,
,
,
,
,
"English",
,
,
,
,
,
,
"English",
,
,
,
,
,
,
,
"Capeverdean creole","Old Portuguese"
,
,
,
,
,
,
"English",
,"Old Portuguese"
,"Old Portuguese"
,"Old Portuguese"
,
,
"English",
,
,
,
,
,
"English",
,
,
"Macao creole","All Portuguese-based creoles of India, Diu creole, Daman creole"
,
"Konkani","All Portuguese-based creoles of India"
"English",
"English",
,
,
,
,
,
,
,
"English",
"Macao creole",
"Macao creole",
"Macao creole",
,
,
"English",
"Macao creole",
"Macao creole",
"Macao creole",
,
,
,
,
"English",
"Dutch",
,
,
"English",
,
,
"English",
,
"Macao creole",
,
,
,
,
"English",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"Macao creole, Mangalor dialect",
"Macao creole, Mangalor dialect",
,
"English",
,"Diu creole, Daman creole"
"Santome",
,
,"Dialectal Portuguese Minho"
,
"English",
"English",
,
,
,
"Dutch",
,
,
,
,
"English",
,
,
,
,"All Portuguese-based creoles of India"
,
,
,
,
,
,
,
,
,
,
"English",
"English",
"English",
,
,
,
,
,
"Malay",
,
,
,
,
"Diu creole, Macao creole",
,
,
,
,
,
,
,
,
,
"Cochin creole, Mangalor dialect",
,
"Dutch",
,
,"Old Portuguese"
,"Old Portuguese"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,"Old Portuguese"
,
,
,
,
,
,
,
,
,
"English",
,
"English",
,
,
,
,
,
"Capeverdean creole",
"Kannada, Konkani, Tamil","All Portuguese-based creoles of India"
,
"Macao creole",
"Macao creole",
,
,
,
,
,
,
,
,"Old Portuguese"
"Macao creole",
,
"English",
"English",
,
,
,
"Macao creole, Tamil",
"malayalam",
"Cochin creole",
"English",
,
,
"English",
"English",
"English",
"English",
"Macao creole",
"Macao creole",
,
,
,
,
"English",
,"Diu creole, Daman creole"
,
,
,
,
,
,
,
,
,
,
,
,
,
"Capeverdean creole, Cochin creole, Macao creole","Portuguese-based creoles of Indian mainland"
,
,
,
,
,
,
,
,
,
,
,
"English",
"Macao creole, Goa creole",
,
"English",
"English",
,
,"Dialetal Portuguese Alentejo"
"English","All Portuguese-based creoles of India"
,
,
,
,
,
,
,
,
,
"Macao creole",
,
,
"Diu creole","Dialectal Portuguese"
,
,
,
,
,
"Konkani",
,
,
,
,
,"Old Portuguese"
"English","Diu creole, Daman creole"
"English","Diu creole, Daman creole"
"Macao creole",
"Macao creole",
,
,
,
,
"English",
,
"English",
,
"Macao creole, Mangalor dialect",
,
,
,
,
,
,
,
,
,
"English",
,
,
,
"Macao creole","Dialectal Portuguese"
,
,
,
"Cochin creole, Macao creole, Mangalor dialect",
"Cochin creole, Macao creole, Mangalor dialect",
,
,
,
,
,
,
,
,
,
,
,
,
"English",
,
"Dutch",
,
,
,
,
,
,
,
"Macao creole",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"Macao creole",
,
,
,
,
,
,"Dialetal Portuguese Algarve"
,
"Macao creole",
"Macao creole",
"Macao creole",
,
"Macao creole",
"Macao creole",
,
,
,
,
,
"English",
,
"Capeverdean creole, Cochin creole","Dialectal Portuguese"
"Capeverdean creole, Cochin creole","Dialectal Portuguese"
"Capeverdean creole, Cochin creole","Dialectal Portuguese"
"Macao creole",
"Macao creole",
"Macao creole",
"Macao creole",
,
,
,
,
,
,
"Mangalor dialect",
,
,
,
,
,
,
"English",
,
,
,
,
,
"English",
,
,
,
"Cochin creole, Diu creole, Singapore creole, Malay",
"English",
"Cochin creole",
"Cochin creole",
"Cochin creole",
"Cochin creole",
"Capeverdean creole",
,
,
"Dutch",
"English",
"English",
"Cochin creole",
,
,"Minho"
,"Minho"
,"Minho"
,"Portuguese-based creoles of Indian mainland"
,"Portuguese-based creoles of Indian mainland"
,
,
,
,
,
"Macao creole","Portuguese-based creoles of Indian mainland"
"Macao creole",
"Macao creole",
"Macao creole",
,
,
,
,
,
,
,
,
,
,
,
,
"English",
,
,
,
,
,
,
,
"English",
"English",
"English","Old Portuguese"
"English","Old Portuguese"
"English","Old Portuguese"
"English","Old Portuguese"
,
,
"Capeverdean creole, Guinea-Bissau kryol, Macao creole",
"Capeverdean creole, Guinea-Bissau kryol, Macao creole",
"Capeverdean creole, Guinea-Bissau kryol, Macao creole",
,
,
,
"Dutch",
"Dutch",
,"Dialetal Portuguese Alentejo"
"Cochin creole, Singapore creole",
"Cochin creole, Singapore creole",
"Cochin creole, Singapore creole",
,
"English",
,
,"Dialectal Portuguese"
,"Dialectal Portuguese"
,"Old Portuguese"
,
,
"Sinhala","Dialetal Portuguese Alentejo"
"English",
,
"Diu creole",
"Diu creole",
"Macao creole",
"Macao creole",
,
,
,
,
,
,
,
,
,
"Cochin creole",
,
"English",
"Capeverdean creole, Macao creole",
"Capeverdean creole, Macao creole",
"Capeverdean creole, Macao creole",
,"Dialectal Portuguese"
,"Dialectal Portuguese"
,"Dialectal Portuguese"
,
,
"Mangalor dialect",
,
,
,
,
,
,
,
,
,
,"Old Portuguese"
,
,
"Capeverdean creole, Macao creole","Beira"
,
,
,
,
,
"Capeverdean creole, Papiamentu",
,
"Persian",
"Diu creole","Diu creole, Daman creole"
,
,
"English",
"English",
,
,
,
,
,
,
,"Dialetal Portuguese Algarve"
,
,
,
,
,
"English",
,
,
,
,
,
,
,
,
"English",
,
,
,
,
,
,
,
,
,
,
"English",
,
"English",
,
,
"Macao creole",
,
,
,
,
,
,
,"Old Portuguese"
,"Old Portuguese"
"Sinhala",
"English",
,
"Macao creole",
"Macao creole",
,
"Italian",
,
,
,
,
,
,
,
,
,
,
,
,"Portuguese-based creoles of Indian mainland"
,
,
,
,
,
,
,
,
"English",
"Cochin creole, Mangalor dialect",
,
,"Old Portuguese, Dialectal Portuguese, Norte"
,"Old Portuguese, Dialectal Portuguese, Norte"
,"Old Portuguese, Dialectal Portuguese, Norte"
,
,
,
,
,
,
,
,
,"Dialectal Portuguese"
,
,
,
,
,
,
,
,
"Cochin creole",
"Cochin creole",
"Cochin creole",
"Cochin creole",
,
"Sinhala",
"Sinhala",
"English",
"Capeverdean creole, Macao creole",
,"Alentejo"
,"Old Portuguese"
,
,
,
,
"Macao creole",
"English",
"English",
"Macao creole, Mangalor dialect","Diu creole, Daman creole"
,"Dialetal Portuguese Alentejo"
,
"Mangalor dialect",
,
"English","comum a todos os ramos do indo-português"
,
,
"Macao creole",
,
"Mangalor dialect","Dialetal Portuguese Alentejo"
,
,
,
,
"English",
,
,
,
"Dutch",
"English",
,
,
"Dutch",
,
,
,
"Cochin creole",
"Cochin creole",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"English",
,
"English",
,
,
,
,
,
,
,
,
"Capeverdean creole","Old Portuguese, Dialectal Portuguese"
,
,
,
,"Old Portuguese"
,"Old Portuguese"
,
,"Old Portuguese"
,"Old Portuguese"
,
"Macao creole","Porto"
,
,
,
"Diu creole",
"Diu creole",
"Diu creole",
,
,
,
,
,
,
,
,
,
,
,
,
,
,"Old Portuguese"
,"Old Portuguese"
,
,
,
,
,
,
,
,
,
,
,
,
"English",
"English",
,
"English",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"Macao creole","Diu creole, Daman creole"
"English",
"English",
,
,
,
,
"English",
"English",
,
"Macao creole",
"Macao creole",
,
,
,
,
,
"Capeverdean creole","Old Portuguese, Dialetal Portuguese Alentejo "
"Capeverdean creole","Old Portuguese"
"Capeverdean creole","Old Portuguese"
"Capeverdean creole","Old Portuguese"
"Capeverdean creole","Old Portuguese"
"Capeverdean creole","Old Portuguese"
,
,
,
"Macao creole",
"Macao creole",
,
,
,"Old Portuguese"
,
,
,
,
,
,
,
,"Dialectal Portuguese, Portuguese-based creoles of Indian mainland"
,"Dialectal Portuguese, Portuguese-based creoles of Indian mainland"
"Cochin creole, Guinea-Bissau kryol, Macao creole, Singapore creole",
,
"Macao creole",
"Macao creole",
"Macao creole",
"Macao creole",
,
,
"Marathi, Singapore creole",
"Marathi, Singapore creole",
,
,
"Cochin creole",
"Cochin creole",
"Macao creole",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"Dutch",
"Dutch",
,
,"Minho"
"Malai, Konkani","comum a todos os ramos do indo-português"
"Malai, Konkani","comum a todos os ramos do indo-português"
"Macao creole",
,
"Dutch",
,
,
,
,
,
,
"Macao creole",
"Macao creole",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"Dutch",
,
,
,
,
"Dutch",
"English",
,
"Italian",
,
"English",
,
,
,
,
,
,
"Macao creole",
"Cochin creole","Old Portuguese"
"Cochin creole","Old Portuguese"
"Cochin creole","Old Portuguese"
,
,
,
"English",
,"Old Portuguese"
,
,
,
"English",
,
,
,
,"Old Portuguese"
,
,
,
,
,
,
"English",
,
,
,
,
,
,
,
,
,
"English",
,
"Cochin creole",
,
,"Portuguese-based creoles of Indian mainland"
"Capeverdean creole, Cochin creole, Macao creole","Old Portuguese, Dialectal Portuguese"
"Capeverdean creole, Cochin creole, Macao creole","Old Portuguese, Dialectal Portuguese"
,
,
,
"Macao creole, Mangalor dialect, Singapore creole",
"Macao creole, Mangalor dialect, Singapore creole",
"English","Diu creole, Daman creole"
"English","Diu creole, Daman creole"
"Macao creole",
"Mangalor dialect",
,
,
,
,
,
,
"Macao creole",
,
,
"English","All Portuguese-based creoles of India"
,
"Macao creole",
"Macao creole",
"Macao creole",
,
,
,
,
,
,
"English",
,
,
,
,
,
"Sinhala",
,
"Konkani","All Portuguese-based creoles of India"
"Konkani","All Portuguese-based creoles of India"
,
"English",
,
"Capeverdean creole, Macao creole",
"Capeverdean creole, Macao creole",
"Capeverdean creole, Macao creole, Mangalor dialect",
,
"Dutch",
"Dutch",
,
,"Portuguese-based creoles of Indian mainland"
"Macao creole, Mangalor dialect",
,
,
,
,
,
,
,
,
,
,
"Macao creole",
"Macao creole",
,
"English",
"English",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"Cochin creole",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"English",
,
,
,
"Macao creole",
,
,
,
,
"English",
"English",
,
"Macao creole","Portuguese-based creoles of Indian mainland"
"Macao creole","Portuguese-based creoles of Indian mainland"
,
,
"Capeverdean creole, Diu creole",
,
"Cochin creole",
,
,
,
"English",
,
,
,
"English",
"English",
"Dutch",
,
,
,
,
,
,
,
,
,
,
,
,
"English",
,
,
,
"Capeverdean creole",
