"reg","TRSVG"
"s","S"
"g","T"
"k","T"
"ʋ","T"
"ɲ","R"
"ʎ","R"
"z","S"
"p","T"
"b","T"
"t","T"
"m","R"
"nʲ","R"
"n","R"
"lʲ","R"
"f","T"
"ph","T"
"r","R"
"ɾ","R"
"l","R"
"d̠ʒ","T"
"d","T"
"j","R"
"t̠ʃ","T"
"T̠",
"ʃ","T"
"eu","VG"
"ei","VG"
"oi","VG"
"ou","VG"
"au","VG"
"u","V"
"o","V"
"a","V"
"e","V"
"i","V"
"ə","V"
"ː",
