reg,split
VT,V.T
VGT,VG.T
RT,R.T
ST,S.T
VRV,V.RV
VRVG,V.RVG
VGRV,VG.RV
VGRVG,VG.RVG
RSV,R.SV
RSVG,R.SVG
TSV,T.SV
TSVG,T.SVG
VSV,V.SV
VGSV,VG.SV
VSVG,V.SVG
VGSVG,VG.SVG
RR,R.R
VV,V.V
VGV,VG.V
VVG,V.VG
VGVG,VGVG
TT,T.T
SR,S.R
SVSV,SV.SV
RVGRV,RVG.RV
